product_id,product_name,category,price
1,clothing,Clothing,42.72
2,beauty,Beauty,25.03
3,beauty,Beauty,48.24
4,home,Home,46.3
5,electronics,Electronics,52.59
6,home,Home,14.17
7,electronics,Electronics,67.29
8,beauty,Beauty,56.86
9,clothing,Clothing,67.24
10,clothing,Clothing,87.99
11,beauty,Beauty,41.11
12,electronics,Electronics,82.28
13,beauty,Beauty,59.12
14,sports,Sports,85.54
15,sports,Sports,54.54
16,sports,Sports,31.94
17,sports,Sports,91.86
18,home,Home,45.92
19,clothing,Clothing,44.25
20,electronics,Electronics,73.34
21,beauty,Beauty,21.99
22,beauty,Beauty,74.44
23,home,Home,71.0
24,beauty,Beauty,30.01
25,beauty,Beauty,82.05
26,sports,Sports,47.46
27,sports,Sports,85.16
28,home,Home,50.71
29,beauty,Beauty,26.29
30,beauty,Beauty,46.98
31,home,Home,76.1
32,electronics,Electronics,85.07
33,beauty,Beauty,73.46
34,sports,Sports,71.64
35,sports,Sports,47.81
36,home,Home,40.36
37,clothing,Clothing,63.61
38,sports,Sports,38.08
39,beauty,Beauty,97.28
40,home,Home,48.04
41,clothing,Clothing,24.48
42,sports,Sports,34.46
43,home,Home,85.99
44,home,Home,56.03
45,sports,Sports,59.63
46,sports,Sports,18.33
47,beauty,Beauty,12.62
48,electronics,Electronics,98.81
49,home,Home,48.88
50,home,Home,82.74
51,home,Home,26.13
52,home,Home,81.78
53,electronics,Electronics,35.07
54,home,Home,13.27
55,home,Home,40.13
56,beauty,Beauty,94.25
57,clothing,Clothing,16.04
58,sports,Sports,34.14
59,clothing,Clothing,86.85
60,electronics,Electronics,37.56
61,beauty,Beauty,8.48
62,home,Home,6.13
63,beauty,Beauty,81.94
64,sports,Sports,37.56
65,sports,Sports,48.38
66,clothing,Clothing,78.9
67,home,Home,57.47
68,electronics,Electronics,51.47
69,electronics,Electronics,60.55
70,electronics,Electronics,54.5
71,electronics,Electronics,78.19
72,home,Home,13.02
73,electronics,Electronics,5.81
74,sports,Sports,98.73
75,electronics,Electronics,79.72
76,beauty,Beauty,64.7
77,home,Home,87.28
78,electronics,Electronics,85.02
79,electronics,Electronics,24.53
80,electronics,Electronics,56.65
81,electronics,Electronics,63.8
82,electronics,Electronics,42.45
83,beauty,Beauty,19.0
84,home,Home,40.19
85,home,Home,71.49
86,beauty,Beauty,74.48
87,clothing,Clothing,41.79
88,home,Home,81.22
89,electronics,Electronics,26.89
90,beauty,Beauty,62.63
91,clothing,Clothing,89.11
92,beauty,Beauty,25.47
93,beauty,Beauty,32.02
94,beauty,Beauty,48.07
95,electronics,Electronics,82.32
96,home,Home,76.1
97,home,Home,90.46
98,beauty,Beauty,35.56
99,sports,Sports,31.29
100,electronics,Electronics,86.2
101,electronics,Electronics,39.65
102,sports,Sports,24.4
103,electronics,Electronics,66.33
104,electronics,Electronics,47.5
105,clothing,Clothing,38.74
106,beauty,Beauty,53.57
107,beauty,Beauty,13.75
108,beauty,Beauty,58.34
109,home,Home,81.42
110,clothing,Clothing,58.9
111,home,Home,9.44
112,sports,Sports,57.33
113,electronics,Electronics,89.42
114,clothing,Clothing,26.94
115,electronics,Electronics,75.48
116,electronics,Electronics,44.42
117,sports,Sports,56.25
118,home,Home,87.98
119,beauty,Beauty,98.37
120,sports,Sports,6.33
121,home,Home,92.19
122,electronics,Electronics,10.32
123,electronics,Electronics,71.98
124,beauty,Beauty,49.83
125,beauty,Beauty,35.54
126,beauty,Beauty,49.89
127,clothing,Clothing,87.41
128,electronics,Electronics,37.06
129,electronics,Electronics,76.66
130,clothing,Clothing,30.79
131,clothing,Clothing,82.87
132,electronics,Electronics,82.6
133,home,Home,31.72
134,sports,Sports,80.79
135,beauty,Beauty,48.81
136,home,Home,32.77
137,clothing,Clothing,5.09
138,beauty,Beauty,82.76
139,sports,Sports,62.12
140,electronics,Electronics,33.21
141,clothing,Clothing,24.6
142,clothing,Clothing,62.33
143,home,Home,71.72
144,electronics,Electronics,15.48
145,electronics,Electronics,60.24
146,sports,Sports,49.41
147,beauty,Beauty,17.99
148,electronics,Electronics,87.6
149,electronics,Electronics,31.34
150,beauty,Beauty,94.29
151,home,Home,75.09
152,home,Home,37.32
153,home,Home,87.2
154,beauty,Beauty,35.29
155,home,Home,80.39
156,electronics,Electronics,40.23
157,home,Home,84.16
158,clothing,Clothing,68.24
159,beauty,Beauty,57.04
160,sports,Sports,46.21
161,home,Home,46.4
162,home,Home,50.43
163,clothing,Clothing,38.41
164,sports,Sports,13.74
165,sports,Sports,16.31
166,clothing,Clothing,86.42
167,sports,Sports,32.33
168,home,Home,85.48
169,electronics,Electronics,27.4
170,sports,Sports,76.46
171,clothing,Clothing,37.63
172,beauty,Beauty,88.84
173,beauty,Beauty,89.87
174,clothing,Clothing,77.48
175,clothing,Clothing,77.69
176,clothing,Clothing,5.94
177,sports,Sports,48.5
178,home,Home,63.61
179,electronics,Electronics,18.42
180,beauty,Beauty,56.69
181,clothing,Clothing,97.93
182,sports,Sports,62.02
183,beauty,Beauty,42.05
184,home,Home,52.57
185,beauty,Beauty,22.7
186,beauty,Beauty,5.22
187,home,Home,72.96
188,sports,Sports,93.51
189,clothing,Clothing,6.98
190,home,Home,69.17
191,sports,Sports,47.47
192,beauty,Beauty,66.56
193,electronics,Electronics,80.41
194,clothing,Clothing,83.52
195,home,Home,73.35
196,beauty,Beauty,96.51
197,home,Home,44.81
198,beauty,Beauty,35.09
199,sports,Sports,88.2
200,beauty,Beauty,89.19
201,home,Home,29.82
202,beauty,Beauty,31.24
203,home,Home,42.15
204,sports,Sports,81.93
205,electronics,Electronics,87.8
206,home,Home,69.7
207,clothing,Clothing,86.31
208,home,Home,36.44
209,beauty,Beauty,29.77
210,sports,Sports,84.87
211,clothing,Clothing,49.61
212,clothing,Clothing,52.6
213,beauty,Beauty,64.93
214,sports,Sports,11.14
215,beauty,Beauty,5.12
216,sports,Sports,19.97
217,home,Home,57.28
218,electronics,Electronics,65.77
219,electronics,Electronics,56.9
220,clothing,Clothing,39.89
221,home,Home,50.53
222,beauty,Beauty,30.55
223,sports,Sports,75.12
224,beauty,Beauty,21.98
225,clothing,Clothing,80.94
226,home,Home,57.73
227,home,Home,7.1
228,clothing,Clothing,70.67
229,beauty,Beauty,49.8
230,sports,Sports,82.82
231,clothing,Clothing,66.38
232,electronics,Electronics,30.89
233,beauty,Beauty,56.03
234,clothing,Clothing,12.32
235,electronics,Electronics,66.6
236,sports,Sports,62.87
237,clothing,Clothing,15.3
238,sports,Sports,36.45
239,clothing,Clothing,20.97
240,clothing,Clothing,19.19
241,clothing,Clothing,19.28
242,clothing,Clothing,33.98
243,sports,Sports,52.24
244,sports,Sports,90.68
245,home,Home,47.53
246,sports,Sports,14.54
247,home,Home,18.68
248,sports,Sports,55.94
249,home,Home,42.69
250,sports,Sports,36.22
251,electronics,Electronics,23.41
252,electronics,Electronics,63.72
253,electronics,Electronics,24.83
254,home,Home,68.83
255,beauty,Beauty,25.53
256,sports,Sports,80.54
257,home,Home,70.68
258,home,Home,85.73
259,clothing,Clothing,46.6
260,clothing,Clothing,52.23
261,electronics,Electronics,56.27
262,sports,Sports,81.84
263,sports,Sports,59.08
264,electronics,Electronics,13.05
265,electronics,Electronics,85.08
266,beauty,Beauty,22.11
267,clothing,Clothing,78.55
268,beauty,Beauty,65.15
269,clothing,Clothing,18.34
270,electronics,Electronics,84.77
271,electronics,Electronics,74.71
272,sports,Sports,46.11
273,home,Home,71.35
274,home,Home,69.05
275,home,Home,44.47
276,home,Home,71.73
277,electronics,Electronics,28.53
278,beauty,Beauty,13.36
279,electronics,Electronics,45.66
280,sports,Sports,83.66
281,sports,Sports,99.02
282,home,Home,39.15
283,beauty,Beauty,78.95
284,sports,Sports,65.64
285,sports,Sports,24.37
286,electronics,Electronics,66.02
287,clothing,Clothing,24.89
288,sports,Sports,42.93
289,home,Home,76.59
290,beauty,Beauty,61.98
291,electronics,Electronics,10.21
292,clothing,Clothing,83.35
293,electronics,Electronics,62.37
294,clothing,Clothing,41.16
295,sports,Sports,70.92
296,sports,Sports,13.51
297,sports,Sports,86.38
298,sports,Sports,44.86
299,clothing,Clothing,9.95
300,electronics,Electronics,54.0
301,home,Home,52.57
302,clothing,Clothing,11.41
303,beauty,Beauty,97.99
304,electronics,Electronics,55.14
305,electronics,Electronics,18.6
306,beauty,Beauty,42.11
307,clothing,Clothing,46.12
308,beauty,Beauty,97.12
309,sports,Sports,5.42
310,home,Home,39.92
311,beauty,Beauty,87.15
312,sports,Sports,43.38
313,sports,Sports,41.94
314,beauty,Beauty,96.09
315,home,Home,64.33
316,electronics,Electronics,9.22
317,electronics,Electronics,74.17
318,home,Home,75.75
319,electronics,Electronics,74.43
320,beauty,Beauty,8.32
321,sports,Sports,92.24
322,beauty,Beauty,39.32
323,clothing,Clothing,68.66
324,electronics,Electronics,82.74
325,beauty,Beauty,62.75
326,home,Home,18.07
327,electronics,Electronics,67.62
328,sports,Sports,64.2
329,sports,Sports,5.3
330,home,Home,27.56
331,home,Home,44.0
332,clothing,Clothing,69.17
333,home,Home,45.25
334,electronics,Electronics,89.29
335,clothing,Clothing,38.44
336,beauty,Beauty,85.33
337,beauty,Beauty,49.79
338,home,Home,5.88
339,beauty,Beauty,25.01
340,sports,Sports,59.12
341,home,Home,70.87
342,electronics,Electronics,7.09
343,clothing,Clothing,29.46
344,home,Home,25.55
345,beauty,Beauty,36.29
346,home,Home,26.74
347,beauty,Beauty,52.71
348,clothing,Clothing,53.36
349,sports,Sports,69.16
350,electronics,Electronics,28.05
351,home,Home,18.88
352,beauty,Beauty,51.39
353,electronics,Electronics,84.64
354,sports,Sports,63.18
355,electronics,Electronics,90.46
356,sports,Sports,32.21
357,beauty,Beauty,32.65
358,clothing,Clothing,31.81
359,electronics,Electronics,52.4
360,electronics,Electronics,88.62
361,home,Home,30.57
362,sports,Sports,43.37
363,clothing,Clothing,86.71
364,clothing,Clothing,96.75
365,clothing,Clothing,23.76
366,sports,Sports,26.05
367,electronics,Electronics,80.83
368,home,Home,13.23
369,home,Home,78.42
370,home,Home,83.35
371,home,Home,29.71
372,clothing,Clothing,62.29
373,beauty,Beauty,38.35
374,sports,Sports,94.13
375,electronics,Electronics,95.4
376,beauty,Beauty,91.43
377,sports,Sports,69.33
378,sports,Sports,89.11
379,home,Home,78.03
380,beauty,Beauty,96.32
381,sports,Sports,66.26
382,home,Home,98.64
383,electronics,Electronics,18.32
384,clothing,Clothing,79.8
385,electronics,Electronics,67.13
386,sports,Sports,54.62
387,clothing,Clothing,97.76
388,home,Home,38.25
389,sports,Sports,40.3
390,sports,Sports,96.65
391,sports,Sports,90.57
392,sports,Sports,15.34
393,electronics,Electronics,90.59
394,beauty,Beauty,54.42
395,beauty,Beauty,54.85
396,clothing,Clothing,17.9
397,clothing,Clothing,48.44
398,electronics,Electronics,22.03
